SimNum, OptParm, OptParmErr, OptParm, OptParmErr, ChiSqr, ChiSqrProb, HiTracer, HiChiSqr, Iters, Time, ModConcs, ModConcs, ModConcs, SimConcs, SimConcs, SimConcs, 
34, 66.7012, 0.995367, 0.57372, 0.0914136, 1.79813, 0.179939, 1, 1.15452, 33, 11.511, 5.0943, 36.0193, 0.655098, 4.74743, 41.2895, 0.684336, 
35, 97.8945, 3.14304, 1.1701, 0.17816, 2.4276, 0.119215, 1, 1.3901, 50, 12.785, 4.30995, 29.1837, 0.749431, 3.85779, 34.9707, 0.776224, 
36, 76.3989, 0.997903, 0.800716, 0.121007, 0.845705, 0.35777, 1, 0.548424, 15, 13.099, 4.71867, 32.4162, 0.731274, 4.48098, 36.0486, 0.749681, 
37, 59.4252, 8.16398, 0.474585, 0.104081, 0.05252, 0.818735, 1, 0.0338986, 5, 13.145, 5.42011, 38.3939, 0.663536, 5.47892, 37.4909, 0.65843, 
38, 93.2554, 0.998833, 0.882742, 0.146567, 0.191532, 0.661644, 1, 0.12195, 18, 13.552, 4.42758, 31.4966, 0.598489, 4.3129, 33.2093, 0.607658, 
39, 74.7555, 0.997398, 0.718884, 0.112752, 0.335448, 0.562469, 1, 0.216985, 10, 13.784, 4.79956, 33.519, 0.680966, 4.64971, 35.8028, 0.692833, 
40, 76.1005, 8.25687, 0.73951, 0.154302, 0.756344, 0.384475, 1, 0.485024, 5, 13.909, 4.76225, 33.2323, 0.681294, 4.53557, 36.6483, 0.699187, 
41, 81.9393, 0.998487, 0.900468, 0.134539, 0.584708, 0.444473, 1, 0.380663, 20, 14.307, 4.58743, 31.3428, 0.739936, 4.38999, 34.3676, 0.754926, 
42, 75.4711, 8.49304, 0.82808, 0.171961, 0.271671, 0.602213, 1, 0.178371, 6, 14.413, 4.71551, 32.0448, 0.767986, 4.5821, 34.1164, 0.778099, 
43, 75.0403, 3.09696, 0.793585, 0.126213, 0.228502, 0.632637, 1, 0.147902, 6, 14.577, 4.74376, 32.482, 0.744196, 4.61987, 34.3684, 0.75368, 
44, 77.2944, 0.998158, 0.852468, 0.126217, 3.71946, 0.0537817, 1, 2.42407, 17, 14.911, 4.6754, 31.7911, 0.762876, 4.17866, 39.4287, 0.800771, 
45, 104.047, 9.69497, 1.5553, 0.27607, 0.155508, 0.693326, 1, 0.10288, 8, 15.022, 4.23994, 27.2113, 0.899439, 4.13896, 28.7846, 0.906376, 
46, 74.2006, 8.44984, 0.831255, 0.172495, 1.2669, 0.260349, 1, 0.824345, 6, 15.138, 4.7314, 31.9656, 0.789261, 4.4406, 36.419, 0.811088, 
47, 95.9082, 0.0999965, 1.06422, 0.0851454, 0.193101, 0.660348, 1, 0.12339, 11, 15.764, 4.34914, 29.9313, 0.701051, 4.23356, 31.6543, 0.709583, 
48, 60.2814, 0.995937, 0.698194, 0.0972984, 0.580038, 0.446298, 1, 0.385773, 17, 16.04, 5.04443, 33.2294, 0.903781, 4.85189, 36.2745, 0.9185, 
49, 69.6043, 12.4691, 0.676723, 0.185064, 0.999786, 0.317362, 1, 0.651239, 5, 16.094, 4.92476, 34.1158, 0.716345, 4.66799, 38.0741, 0.736739, 
50, 75.9311, 0.998151, 0.875758, 0.12658, 1.95476, 0.162075, 1, 1.27717, 14, 16.378, 4.68073, 31.472, 0.801645, 4.3208, 37.0152, 0.828573, 
